date,ticker,marketCap,size_category,Total Cash From Operating Activities,Net Income,Depreciation And Amortization,Change In Working Capital,Total Revenue,Gross Profit,Operating Income,Total Assets,Accounts Receivable,Inventory,Accounts Payable
2025-06-30,AEP,58367500288,Large-Cap,,1225800000.0,853100000.0,-277400000.0,5086900000.0,3154800000.0,1399100000.0,107778500000.0,1134600000.0,1622000000.0,2714200000.0
2023-12-31,AES,9427535872,Mid-Cap,,,,,,,,,,,
2024-03-31,AES,9427535872,Mid-Cap,,,,,,,,,,,
2024-06-30,AES,9427535872,Mid-Cap,,276000000.0,315000000.0,28000000.0,2942000000.0,553000000.0,487000000.0,47738000000.0,1507000000.0,661000000.0,2422000000.0
2024-09-30,AES,9427535872,Mid-Cap,,502000000.0,293000000.0,9000000.0,3289000000.0,722000000.0,665000000.0,50079000000.0,1868000000.0,646000000.0,2663000000.0
2024-12-31,AES,9427535872,Mid-Cap,,560000000.0,338000000.0,477000000.0,2962000000.0,420000000.0,330000000.0,47406000000.0,1646000000.0,593000000.0,2571000000.0
2025-03-31,AES,9427535872,Mid-Cap,,46000000.0,337000000.0,5000000.0,2926000000.0,441000000.0,364000000.0,48615000000.0,1719000000.0,624000000.0,2260000000.0
2025-06-30,AES,9427535872,Mid-Cap,,-95000000.0,354000000.0,150000000.0,2855000000.0,453000000.0,404000000.0,48542000000.0,1865000000.0,647000000.0,2284000000.0
2023-12-31,AFL,59558834176,Large-Cap,,,,,,,,,,,
2024-03-31,AFL,59558834176,Large-Cap,,,,,,,,,,,
2024-06-30,AFL,59558834176,Large-Cap,,1755000000.0,,-527000000.0,5157000000.0,,,120168000000.0,880000000.0,,
2024-09-30,AFL,59558834176,Large-Cap,,-93000000.0,,-50000000.0,3035000000.0,,,128442000000.0,814000000.0,,
2024-12-31,AFL,59558834176,Large-Cap,,1902000000.0,,-349000000.0,5498000000.0,,,117566000000.0,779000000.0,,
2025-03-31,AFL,59558834176,Large-Cap,,29000000.0,,-56000000.0,3453000000.0,,,120258000000.0,894000000.0,,
2025-06-30,AFL,59558834176,Large-Cap,,599000000.0,,-454000000.0,4218000000.0,,,124736000000.0,873000000.0,,
2023-12-31,AIG,43201220608,Large-Cap,,,,,,,,,,,
2024-03-31,AIG,43201220608,Large-Cap,,,,,,,,,,,
2024-06-30,AIG,43201220608,Large-Cap,,-3977000000.0,900000000.0,3000000.0,6569000000.0,,,167890000000.0,11669000000.0,,7729000000.0
2024-09-30,AIG,43201220608,Large-Cap,,459000000.0,856000000.0,149000000.0,6755000000.0,,,169449000000.0,11196000000.0,,6715000000.0
2024-12-31,AIG,43201220608,Large-Cap,,898000000.0,990000000.0,-1247000000.0,7173000000.0,,,161322000000.0,10463000000.0,,6052000000.0
2025-03-31,AIG,43201220608,Large-Cap,,698000000.0,866000000.0,-1557000000.0,6774000000.0,,,161864000000.0,11684000000.0,,7343000000.0
2025-06-30,AIG,43201220608,Large-Cap,,1144000000.0,883000000.0,-302000000.0,7041000000.0,,,165971000000.0,13013000000.0,,7693000000.0
2023-12-31,AIZ,10880015360,Large-Cap,,,,,,,,,,,
2024-03-31,AIZ,10880015360,Large-Cap,,,,,,,,,,,
2024-06-30,AIZ,10880015360,Large-Cap,,188700000.0,50500000.0,458100000.0,2924900000.0,,,33773000000.0,8542700000.0,,2584200000.0
2024-09-30,AIZ,10880015360,Large-Cap,,133800000.0,58500000.0,5600000.0,2967700000.0,,,35332300000.0,9414400000.0,,3560800000.0
2024-12-31,AIZ,10880015360,Large-Cap,,201300000.0,63900000.0,-238900000.0,3104800000.0,,,35020600000.0,9553900000.0,,3407400000.0
2025-03-31,AIZ,10880015360,Large-Cap,,146600000.0,56700000.0,171100000.0,3074000000.0,,,34988400000.0,9204100000.0,,2570100000.0
2025-06-30,AIZ,10880015360,Large-Cap,,235300000.0,59000000.0,-130300000.0,3158400000.0,,,35525900000.0,9259900000.0,,2350900000.0
2023-12-31,AJG,77972807680,Large-Cap,,,,,,,,,,,
2024-03-31,AJG,77972807680,Large-Cap,,,,,,,,,,,
2024-06-30,AJG,77972807680,Large-Cap,,283400000.0,211600000.0,-374600000.0,2775400000.0,1115900000.0,478700000.0,63007700000.0,4178300000.0,,
2024-09-30,AJG,77972807680,Large-Cap,,312600000.0,210000000.0,408400000.0,2806800000.0,1144600000.0,480900000.0,57242700000.0,3988800000.0,,
2024-12-31,AJG,77972807680,Large-Cap,,258300000.0,213000000.0,104100000.0,2716000000.0,1125600000.0,473700000.0,64255200000.0,3895900000.0,,
2025-03-31,AJG,77972807680,Large-Cap,,704400000.0,253400000.0,-212700000.0,3727400000.0,1790700000.0,1046900000.0,74095700000.0,4520200000.0,,
2025-06-30,AJG,77972807680,Large-Cap,,365800000.0,230800000.0,-582500000.0,3220800000.0,1374500000.0,624400000.0,80122600000.0,4739200000.0,,
2023-12-31,AKAM,10904470528,Large-Cap,,,,,,,,,,,
2024-03-31,AKAM,10904470528,Large-Cap,,,,,,,,,,,
2024-06-30,AKAM,10904470528,Large-Cap,,131688000.0,158549000.0,24692000.0,979580000.0,576692000.0,151550000.0,10087532000.0,499108000.0,,124507000.0
2024-09-30,AKAM,10904470528,Large-Cap,,57907000.0,165729000.0,25516000.0,1004679000.0,595873000.0,157686000.0,10190457000.0,492539000.0,,106629000.0
2024-12-31,AKAM,10904470528,Large-Cap,,139905000.0,167949000.0,-18290000.0,1019939000.0,605583000.0,159674000.0,10368785000.0,508928000.0,,130447000.0
2025-03-31,AKAM,10904470528,Large-Cap,,123171000.0,174022000.0,-183788000.0,1015139000.0,596194000.0,155039000.0,9982190000.0,552512000.0,,155917000.0
2025-06-30,AKAM,10904470528,Large-Cap,,103618000.0,175461000.0,51129000.0,1043494000.0,616959000.0,155838000.0,10536135000.0,560517000.0,,146617000.0
2023-12-31,ALB,10367865856,Large-Cap,,,,,,,,,,,
2024-03-31,ALB,10367865856,Large-Cap,,,,,,,,,,,
2024-06-30,ALB,10367865856,Large-Cap,,-188198000.0,138279000.0,398848000.0,1430385000.0,-10578000.0,-197771000.0,18388282000.0,785553000.0,1800114000.0,1323173000.0
2024-09-30,ALB,10367865856,Large-Cap,,-1068992000.0,163502000.0,476666000.0,1354692000.0,-104034000.0,-280684000.0,17455186000.0,749792000.0,1657688000.0,1222810000.0
2024-12-31,ALB,10367865856,Large-Cap,,75293000.0,163106000.0,535125000.0,1231713000.0,138213000.0,-17804000.0,16609649000.0,742201000.0,1502531000.0,943887000.0
